Name,Price,GMP,Date
Aprameya Engineering NSE SMEUpcoming,58,--,25-Jul
Clinitech Laboratory BSE SMEUpcoming,96,--,25-Jul
Chetana Education NSE SMEUpcoming,85,11,24-Jul
Manglam Infra And Engineering NSE SMEUpcoming,56,10,24-Jul
VVIP Infratech BSE SMEUpcoming,93,47,23-Jul
V.L.Infraprojects NSE SMEUpcoming,42,40,23-Jul
SAR Televenture SME FPOUpcoming,210,27,22-Jul
RNFI Services NSE SMEUpcoming,105,50,22-Jul
Sanstar IPOOpen (Sub:4.23x),95,32,19-Jul
Kataria Industries NSE SMEClose (Sub:393.87x),96,70,16-Jul
Macobs Technologies NSE SMEClose (Sub:202.32x),75,25,16-Jul
Tunwal E-Motors NSE SMEClose (Sub:12.31x),59,5,15-Jul
Aelea Commodities BSE SMEClose (Sub:195.83x),95,77,12-Jul
Sati Poly Plast NSE SMEClose (Sub:499.13x),130,140,12-Jul
Prizor Viztech NSE SMEClose (Sub:219.45x),87,105,12-Jul
Three M Paper Boards BSE SMEClose (Sub:171.33x),69,34,12-Jul
Sahaj Solar NSE SME[email protected] (90.00%),180,250,11-Jul
Effwa Infra and Research NSE SME[email protected] (90.00%),82,143,5-Jul
Ganesh Green Bharat NSE SME[email protected] (90.00%),190,235,5-Jul
Ambey Laboratories NSE SME[email protected] (25.00%),68,28,4-Jul
Bansal Wire IPO[email protected] (39.06%),256,70,3-Jul
Emcure Pharma IPO[email protected] (31.45%),1008,300,3-Jul
Nephro Care India NSE SME[email protected] (90.00%),90,175,28-Jun
Diensten Tech NSE SME[email protected] (140.00%),100,70,26-Jun
Vraj Iron and Steel IPO[email protected] (15.94%),207,50,26-Jun
Allied Blenders and Distillers IPO[email protected] (13.88%),281,59,25-Jun
The Money Fair NSE SME[email protected] (27.27%),77,5,25-Jun
Divine Power NSE SME[email protected] (287.50%),40,61,25-Jun
Petro Carbon and Chemicals NSE SME[email protected] (75.44%),171,90,25-Jun
Sylvan Plyboard NSE SME[email protected] (20.00%),55,27,24-Jun
Shivalic Power Control NSE SME[email protected] (211.00%),100,225,24-Jun
Mason Infratech NSE SME[email protected] (37.50%),64,10,24-Jun
Visaman Global Sales NSE SME[email protected] (4.88%),43,5,24-Jun
Stanley lifestyles IPO[email protected] (34.13%),369,173,21-Jun
Medicamen Organics NSE SME[email protected] (305.44%),34,70,21-Jun
EnNutrica BSE SME[email protected] (90.00%),54,68,20-Jun
Winny Immigration NSE SME[email protected] (71.43%),140,77,20-Jun
GEM Enviro BSE SME[email protected] (90.00%),75,72,19-Jun
DEE Development Engineers IPO[email protected] (67.00%),203,90,19-Jun
Durlax Top Surface NSE SME[email protected] (60.29%),68,64,19-Jun
